Campaign_ID,Company,Campaign_Type,Target_Audience,Duration,Channel_Used,Conversion_Rate,Acquisition_Cost,ROI,Location,Language,Clicks,Impressions,Engagement_Score,Customer_Segment,Date
1,Innovate Industries,Email,Men 18-24,30 Days,Google Ads,0.04,16174,6.29,Chicago,Spanish,506,1922,6,Health & Wellness,2021-01-01
2,Nexgen Systems,Email,Women 35-44,60 Days,Google Ads,0.12,11566,5.61,New York,German,116,7523,7,Fashionistas,2021-01-02
3,Alpha Innovations,Influencer,Men 25-34,30 Days,Youtube,0.07,10200,7.18,Los Angeles,French,584,7698,1,Outdoor Adventurers,2021-01-03
4,Datatech Solutions,Display,All Ages,60 Days,Youtube,0.11,12724,5.55,Miami,Mandarin,217,1820,7,Health & Wellness,2021-01-04
5,Nexgen Systems,Email,Men 25-34,15 Days,Youtube,0.05,16452,6.5,Los Angeles,Mandarin,379,4201,3,Health & Wellness,2021-01-05
6,Datatech Solutions,Display,All Ages,15 Days,Instagram,0.07,9716,4.36,New York,German,100,1643,1,Foodies,2021-01-06
7,Nexgen Systems,Email,Women 35-44,60 Days,Website,0.13,11067,2.86,Los Angeles,Spanish,817,8749,10,Tech Enthusiasts,2021-01-07
8,Datatech Solutions,Search,Men 18-24,45 Days,Google Ads,0.08,13280,5.55,Los Angeles,Mandarin,624,7854,7,Outdoor Adventurers,2021-01-08
9,Alpha Innovations,Social Media,Women 35-44,15 Days,Facebook,0.09,18066,6.73,Chicago,German,861,1754,6,Tech Enthusiasts,2021-01-09
10,Techcorp,Email,Women 35-44,15 Days,Instagram,0.09,13766,3.78,Los Angeles,English,642,3856,3,Tech Enthusiasts,2021-01-10
11,Nexgen Systems,Display,Men 25-34,45 Days,Email,0.12,8590,3.49,New York,Spanish,321,6628,10,Tech Enthusiasts,2021-01-11
12,Innovate Industries,Influencer,Men 25-34,60 Days,Google Ads,0.05,17502,3.59,Los Angeles,Mandarin,659,8948,1,Foodies,2021-01-12
13,Techcorp,Social Media,Men 25-34,60 Days,Facebook,0.09,17189,4.91,Chicago,Mandarin,677,8817,10,Tech Enthusiasts,2021-01-13
14,Techcorp,Email,Men 25-34,45 Days,Instagram,0.14,9975,7.06,New York,German,994,2201,4,Health & Wellness,2021-01-14
15,Techcorp,Display,All Ages,45 Days,Website,0.04,11346,5.28,Chicago,Spanish,482,8470,1,Outdoor Adventurers,2021-01-15
16,Innovate Industries,Social Media,Women 35-44,60 Days,Youtube,0.11,9407,2.91,New York,German,299,1512,5,Health & Wellness,2021-01-16
17,Innovate Industries,Display,Women 35-44,45 Days,Website,0.08,5478,4.53,Houston,English,931,2488,3,Fashionistas,2021-01-17
18,Alpha Innovations,Influencer,Men 18-24,15 Days,Instagram,0.14,9485,4.48,Miami,French,218,9264,9,Health & Wellness,2021-01-18
19,Alpha Innovations,Social Media,Men 25-34,60 Days,Google Ads,0.07,19224,6.08,New York,French,182,5798,1,Foodies,2021-01-19
20,Datatech Solutions,Influencer,Men 25-34,15 Days,Google Ads,0.09,10258,3.83,Miami,French,193,3677,1,Tech Enthusiasts,2021-01-20
21,Datatech Solutions,Search,Women 25-34,15 Days,Email,0.04,16580,7.99,New York,Spanish,975,1561,3,Outdoor Adventurers,2021-01-21
22,Techcorp,Influencer,All Ages,30 Days,Facebook,0.02,12824,6.21,New York,French,319,8586,2,Foodies,2021-01-22
23,Nexgen Systems,Social Media,Women 35-44,15 Days,Youtube,0.13,8699,2.12,Miami,French,646,3841,5,Health & Wellness,2021-01-23
24,Innovate Industries,Email,Women 25-34,15 Days,Facebook,0.04,17608,7.31,Miami,Spanish,764,2157,8,Health & Wellness,2021-01-24
25,Nexgen Systems,Social Media,Men 18-24,60 Days,Youtube,0.07,8773,6.03,Miami,Mandarin,527,1733,1,Fashionistas,2021-01-25
26,Nexgen Systems,Search,Women 25-34,45 Days,Instagram,0.04,14756,6.23,Houston,English,809,8236,10,Health & Wellness,2021-01-26
27,Alpha Innovations,Email,Women 25-34,45 Days,Facebook,0.09,9182,6.03,Houston,English,953,6916,5,Fashionistas,2021-01-27
28,Techcorp,Email,Men 25-34,30 Days,Youtube,0.07,6601,3.29,New York,Spanish,604,2420,3,Foodies,2021-01-28
29,Techcorp,Influencer,Men 18-24,60 Days,Email,0.09,11552,7.12,Chicago,Spanish,384,7620,7,Tech Enthusiasts,2021-01-29
30,Techcorp,Social Media,Women 25-34,30 Days,Email,0.09,11608,3.61,Los Angeles,Spanish,952,4055,1,Tech Enthusiasts,2021-01-30
31,Innovate Industries,Search,Men 25-34,45 Days,Instagram,0.07,13124,2.77,Houston,Mandarin,512,4837,4,Tech Enthusiasts,2021-01-31
32,Nexgen Systems,Influencer,All Ages,45 Days,Youtube,0.07,13245,6.83,New York,English,309,2885,7,Foodies,2021-02-01
33,Nexgen Systems,Display,Women 35-44,45 Days,Email,0.06,5796,4.42,New York,Spanish,367,3218,9,Foodies,2021-02-02
34,Alpha Innovations,Influencer,Women 25-34,45 Days,Google Ads,0.14,15082,2.71,Los Angeles,German,243,5724,4,Health & Wellness,2021-02-03
35,Nexgen Systems,Influencer,Men 18-24,30 Days,Youtube,0.07,18332,7.81,Houston,Spanish,360,5349,6,Fashionistas,2021-02-04
36,Techcorp,Display,Men 25-34,60 Days,Instagram,0.09,13256,2.51,Miami,German,250,7373,3,Health & Wellness,2021-02-05
37,Datatech Solutions,Display,All Ages,45 Days,Email,0.04,15779,7.24,New York,Spanish,822,7152,1,Foodies,2021-02-06
38,Innovate Industries,Influencer,Men 18-24,60 Days,Facebook,0.06,7683,2.62,Houston,French,833,9772,8,Tech Enthusiasts,2021-02-07
39,Innovate Industries,Search,Men 25-34,30 Days,Instagram,0.11,14742,2.21,Chicago,Spanish,663,9473,10,Tech Enthusiasts,2021-02-08
40,Innovate Industries,Search,Men 18-24,45 Days,Google Ads,0.08,15495,6.97,Chicago,German,268,5495,6,Fashionistas,2021-02-09
41,Datatech Solutions,Social Media,All Ages,30 Days,Website,0.04,18684,4.57,New York,French,212,4718,4,Foodies,2021-02-10
42,Alpha Innovations,Search,Men 25-34,45 Days,Email,0.01,13096,3.44,Los Angeles,French,360,2776,1,Foodies,2021-02-11
43,Innovate Industries,Display,Men 25-34,60 Days,Instagram,0.09,7818,5.6,Houston,French,598,8637,5,Fashionistas,2021-02-12
44,Innovate Industries,Display,All Ages,30 Days,Instagram,0.09,8214,4.77,Chicago,English,988,1612,5,Fashionistas,2021-02-13
45,Datatech Solutions,Email,Men 18-24,45 Days,Google Ads,0.04,6882,3.31,Miami,English,282,8038,7,Tech Enthusiasts,2021-02-14
46,Nexgen Systems,Display,Women 35-44,60 Days,Google Ads,0.03,13470,6.8,Miami,English,992,8036,8,Health & Wellness,2021-02-15
47,Datatech Solutions,Search,Men 25-34,60 Days,Youtube,0.06,14948,7.4,New York,French,903,3940,3,Foodies,2021-02-16
48,Innovate Industries,Social Media,Men 18-24,60 Days,Instagram,0.04,15255,3.8,Chicago,French,629,1824,3,Health & Wellness,2021-02-17
49,Techcorp,Display,All Ages,60 Days,Facebook,0.1,9510,5.25,Houston,French,190,2071,4,Tech Enthusiasts,2021-02-18
